w1,w2,w3,d1,d2,d3,scenario_number
1.0,7.0,42.0,14,56,301,624
1.0,7.0,43.0,14,56,308,625
1.0,7.0,44.0,14,56,315,626
1.0,7.0,45.0,14,56,322,627
1.0,7.0,46.0,14,56,329,628
1.0,8.0,14.0,14,63,105,629
1.0,8.0,15.0,14,63,112,630
1.0,8.0,16.0,14,63,119,631
1.0,8.0,17.0,14,63,126,632
1.0,8.0,18.0,14,63,133,633
1.0,8.0,19.0,14,63,140,634
1.0,8.0,20.0,14,63,147,635
1.0,8.0,21.0,14,63,154,636
1.0,8.0,22.0,14,63,161,637
1.0,8.0,23.0,14,63,168,638
1.0,8.0,24.0,14,63,175,639
1.0,8.0,25.0,14,63,182,640
1.0,8.0,26.0,14,63,189,641
1.0,8.0,27.0,14,63,196,642
1.0,8.0,28.0,14,63,203,643
1.0,8.0,29.0,14,63,210,644
1.0,8.0,30.0,14,63,217,645
1.0,8.0,31.0,14,63,224,646
1.0,8.0,32.0,14,63,231,647
1.0,8.0,33.0,14,63,238,648
1.0,8.0,34.0,14,63,245,649
1.0,8.0,35.0,14,63,252,650
1.0,8.0,36.0,14,63,259,651
1.0,8.0,37.0,14,63,266,652
1.0,8.0,38.0,14,63,273,653
1.0,8.0,39.0,14,63,280,654
1.0,8.0,40.0,14,63,287,655
1.0,8.0,41.0,14,63,294,656
1.0,8.0,42.0,14,63,301,657
1.0,8.0,43.0,14,63,308,658
1.0,8.0,44.0,14,63,315,659
1.0,8.0,45.0,14,63,322,660
1.0,8.0,46.0,14,63,329,661
1.0,9.0,15.0,14,70,112,662
1.0,9.0,16.0,14,70,119,663
1.0,9.0,17.0,14,70,126,664
1.0,9.0,18.0,14,70,133,665
1.0,9.0,19.0,14,70,140,666
1.0,9.0,20.0,14,70,147,667
1.0,9.0,21.0,14,70,154,668
1.0,9.0,22.0,14,70,161,669
1.0,9.0,23.0,14,70,168,670
1.0,9.0,24.0,14,70,175,671
1.0,9.0,25.0,14,70,182,672
